setting_id,setting_name,circuito_fecha,sesion,tiempo_vuelta,categoria,parametro,valor,notas
1,SETTING 1,,,,TYRES (NEUMÁTICOS),F Type (Compuesto Del.),,
1,SETTING 1,,,,TYRES (NEUMÁTICOS),R Type (Compuesto Tras.),,
1,SETTING 1,,,,TYRES (NEUMÁTICOS),F Presión Frío / Caliente,,
1,SETTING 1,,,,TYRES (NEUMÁTICOS),R Presión Frío / Caliente,,
1,SETTING 1,,,,TYRES (NEUMÁTICOS),Vueltas Neumático (Laps),,
1,SETTING 1,,,,FORK (HORQUILLA),Altura de tijas (Clamp),,
1,SETTING 1,,,,FORK (HORQUILLA),Muelles (Springs),,
1,SETTING 1,,,,FORK (HORQUILLA),Nivel de Aceite (Air Gap),,
1,SETTING 1,,,,FORK (HORQUILLA),Precarga (Preload),,
1,SETTING 1,,,,FORK (HORQUILLA),Compresión (Comp),,
1,SETTING 1,,,,FORK (HORQUILLA),Extensión (Rebound),,
1,SETTING 1,,,,FORK (HORQUILLA),SAG Libre / SAG Piloto,,
1,SETTING 1,,,,SHOCK (AMORTIGUADOR),Longitud Total (Length),,
1,SETTING 1,,,,SHOCK (AMORTIGUADOR),Muelle (Spring),,
1,SETTING 1,,,,SHOCK (AMORTIGUADOR),Precarga (Preload),,
1,SETTING 1,,,,SHOCK (AMORTIGUADOR),Compresión (Alta/Baja),,
1,SETTING 1,,,,SHOCK (AMORTIGUADOR),Extensión (Rebound),,
1,SETTING 1,,,,SHOCK (AMORTIGUADOR),SAG Libre / SAG Piloto,,
1,SETTING 1,,,,SHOCK (AMORTIGUADOR),Bieletas (Linkage),,
1,SETTING 1,,,,GEOMETRY & DRIVE,Piñón / Corona,,
1,SETTING 1,,,,GEOMETRY & DRIVE,Posición Eje Trasero / Cadena,,
1,SETTING 1,,,,GEOMETRY & DRIVE,Altura Delantera / Trasera,,
1,SETTING 1,,,,GEOMETRY & DRIVE,Pivot de Basculante,,
1,SETTING 1,,,,ELECTRONICS,Mapa de Motor (PWR),,
1,SETTING 1,,,,ELECTRONICS,Tracción (TC) / Freno (EB),,
1,SETTING 1,,,,ELECTRONICS,Anti-Wheelie (AW) / QS,,
1,SETTING 1,,,,CONDITIONS,Temp Aire / Temp Asfalto,,
1,SETTING 1,,,,CONDITIONS,Viento / Humedad / Pista,,
1,SETTING 1,,,,RIDER FEEDBACK,Frenada / Entrada curva,,
1,SETTING 1,,,,RIDER FEEDBACK,Paso por curva,,
1,SETTING 1,,,,RIDER FEEDBACK,Aceleración / Salida,,
2,SETTING 2,,,,TYRES (NEUMÁTICOS),F Type (Compuesto Del.),,
2,SETTING 2,,,,TYRES (NEUMÁTICOS),R Type (Compuesto Tras.),,
2,SETTING 2,,,,TYRES (NEUMÁTICOS),F Presión Frío / Caliente,,
2,SETTING 2,,,,TYRES (NEUMÁTICOS),R Presión Frío / Caliente,,
2,SETTING 2,,,,TYRES (NEUMÁTICOS),Vueltas Neumático (Laps),,
2,SETTING 2,,,,FORK (HORQUILLA),Altura de tijas (Clamp),,
